"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","490.3","572.8","630.1",610.3,"517.3","602.3",658.3
"Procurement","1810.0","6091.9","6701.1",6347.4,"2089.4","7861.2",8440
"Flyaway","--","--","--",5924.4,"--","--",7891.4
"Recurring","--","--","--",5922.6,"--","--",7888.7
"Non Recurring","--","--","--",1.8,"--","--",2.7
"Support","--","--","--",423,"--","--",548.6
"Other Support","--","--","--",423,"--","--",548.6
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","2300.3","6664.7","N/A",6957.7,"2606.7","8463.5",9098.3
