"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1725.7","2419.5","2661.5",2413.1,"1350.6","2247.2",2236.7
"Procurement","10552.5","13574.7","14932.2",13729.6,"11761.8","17499.8",17665.3
"Flyaway","--","--","--",12888,"--","--",16540.7
"Recurring","--","--","--",11016.5,"--","--",14654.3
"Non Recurring","--","--","--",1871.5,"--","--",1886.4
"Support","--","--","--",841.6,"--","--",1124.6
"Other Support","--","--","--",720.9,"--","--",979.4
"Initial Spares","--","--","--",120.7,"--","--",145.2
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","12278.2","15994.2","N/A",16142.7,"13112.4","19747.0",19902
