"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","541.1","617.1","678.8","1
765.8","530.3","614.4",801.7
"Procurement","1522.4","1748.9","1923.8","1848.9","1821.5","2226.1",2669.1
"Flyaway","--","--","--","1376.7","--","--",2019.9
"Recurring","--","--","--","1321.5","--","--",1941.8
"Non Recurring","--","--","--","55.2","--","--",78.1
"Support","--","--","--","472.2","--","--",649.2
"Other Support","--","--","--","403.7","--","--",570.9
"Initial Spares","--","--","--","68.5","--","--",78.3
"MILCON","119.6","0","--","0","126","0",0
"Acq O&M","183.3","0","--","0","309.3","0",0
"Total","2366.4","2366","N/A","2614.7","2787.1","2840.5",3470.8
