"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1681.6","1256.2","1381.8",1463.31,"1764.2","1279.1",1502.8
"Procurement","5459.7","1387.1","1525.8",1443.8,"6569.8","2092.1",1990.6
"Flyaway","--","--","--",1201,"--","--",1655.2
"Recurring","--","--","--",1201,"--","--",1655.2
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",242.8,"--","--",335.4
"Other Support","--","--","--",129.6,"--","--",179.5
"Initial Spares","--","--","--",113.2,"--","--",155.9
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","7141.3","2643.3","N/A",2907.1,"8334.0","3371.2",3493.4
