"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1319.0","1272.6","1415.8",1273.2,"1192.2","1145.9",1145.9
"Procurement","1503.4","1389.8","1527.4",1382,"1615.4","1496.5",1479
"Flyaway","--","--","--",1344.8,"--","--",1439
"Recurring","--","--","--",934.7,"--","--",997.3
"Non Recurring","--","--","--",410.1,"--","--",441.7
"Support","--","--","--",37.2,"--","--",40
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",37.2,"--","--",40
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","2822.4","2662.4","N/A",2655.2,"2807.6","2642.4",2624.9
