"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","11446.5","11446.5","12591.2",12487.1,"9891.7","9891.7",11176.6
"Procurement","38562.8","38562.8","42419.1",38812.8,"43099.3","43099.3",44570
"Flyaway","--","--","--",31704.5,"--","--",36653.1
"Recurring","--","--","--",30138.5,"--","--",34937.3
"Non Recurring","--","--","--",1566,"--","--",1715.8
"Support","--","--","--",7108.3,"--","--",7916.9
"Other Support","--","--","--",5203.2,"--","--",5786.9
"Initial Spares","--","--","--",1905.1,"--","--",2130
"MILCON","241.1","241.1","265.2",105.1,"262.4","262.4",115.7
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","50250.4","50250.4","N/A",51405,"53253.4","53253.4",55862.3
