"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","168.8","504.9","555.4",537.8,"175.7","547.1",582.3
"Procurement","3798.5","2821.5","3103.7",2960.2,"4680.4","3324.4",3517.2
"Flyaway","--","--","--",2862.4,"--","--",3404.6
"Recurring","--","--","--",2716.7,"--","--",3240.9
"Non Recurring","--","--","--",145.7,"--","--",163.7
"Support","--","--","--",97.8,"--","--",112.6
"Other Support","--","--","--",42.5,"--","--",47.6
"Initial Spares","--","--","--",55.3,"--","--",65
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","3967.3","3326.4","N/A",3498,"4856.1","3871.5",4099.5
