"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","753.7","753.7","829.1",1299.41,"781.4","781.4",1433.3
"Procurement","202.9","202.9","223.0",418.11,"243.7","243.7",540.1
"Flyaway","--","--","--",317.3,"--","--",409
"Recurring","--","--","--",317.3,"--","--",409
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",100.8,"--","--",131.1
"Other Support","--","--","--",83.8,"--","--",108.9
"Initial Spares","--","--","--",17,"--","--",22.2
"MILCON","6.6","6.6","7.3",6.6,"6.8","6.8",6.8
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","963.2","963.2","N/A",1724.1,"1031.9","1031.9",1980.2
