"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","6804.2","6804.2","7484.6",5979.4,"7149.6","7149.6",6259.6
"Procurement","33040.3","33040.3","36344.3",31371,"40236.0","40236.0",38764.9
"Flyaway","--","--","--",27214.7,"--","--",33723.3
"Recurring","--","--","--",27214.7,"--","--",33723.3
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",4156.3,"--","--",5041.6
"Other Support","--","--","--",3139.9,"--","--",3819.8
"Initial Spares","--","--","--",1016.4,"--","--",1221.8
"MILCON","3673.7","3673.7","4041.1",2589.7,"4314.6","4314.6",3187.5
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","43518.2","43518.2","N/A",39940.1,"51700.2","51700.2",48212
