"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","485.4","826.7","909.4",844.8,"500.5","957.1",979.4
"Procurement","9294.8","4367.1","4803.8",4435.5,"11348.4","5796.3",5854.6
"Flyaway","--","--","--",4404.7,"--","--",5818.8
"Recurring","--","--","--",4244.9,"--","--",5604.3
"Non Recurring","--","--","--",159.8,"--","--",214.5
"Support","--","--","--",30.8,"--","--",35.8
"Other Support","--","--","--",28.6,"--","--",33
"Initial Spares","--","--","--",2.2,"--","--",2.8
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","9780.2","5193.8","N/A",5280.3,"11848.9","6753.4",6834
