"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","962.3","962.3","1058.5",911.6,"1009.8","1009.8",948.9
"Procurement","21782.0","21782.0","23960.2",18161.8,"29359.4","29359.4",23718.9
"Flyaway","--","--","--",17107.1,"--","--",22419.7
"Recurring","--","--","--",15591.9,"--","--",20452.7
"Non Recurring","--","--","--",1515.2,"--","--",1967
"Support","--","--","--",1054.7,"--","--",1299.2
"Other Support","--","--","--",863.3,"--","--",1063.4
"Initial Spares","--","--","--",191.4,"--","--",235.8
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","35.9","35.9","39.5",0,"39.5","39.5",0
"Total","22780.2","22780.2","N/A",19073.4,"30408.7","30408.7",24667.8
