"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","8.9","349.1","384",281,"9.2","446.6",361.4
"Procurement","721.8","13041","14345.1",11844.9,"830.5","15910.8",15371.6
"Flyaway","--","--","--",9728.8,"--","--",12750.5
"Recurring","--","--","--",9590.2,"--","--",12560.5
"Non Recurring","--","--","--",138.6,"--","--",190
"Support","--","--","--",2116.1,"--","--",2621.1
"Other Support","--","--","--",1096.6,"--","--",1375.2
"Initial Spares","--","--","--",1019.5,"--","--",1245.9
"MILCON","0","153","168.3",147.3,"0","182.4",187.2
"Acq O&M","0","45","49.5",17.3,"0","51.7",23.7
"Total","730.7","13588.1","N/A",12290.5,"839.7","16591.5",15943.9
