"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","978.5","978.5","1076.4",967.1,"952.8","952.8",941.5
"Procurement","4691.4","4691.4","5160.5",4715.7,"6371.7","6371.7",6195.4
"Flyaway","--","--","--",4645.6,"--","--",6106.8
"Recurring","--","--","--",4627.5,"--","--",6085.6
"Non Recurring","--","--","--",18.1,"--","--",21.2
"Support","--","--","--",70.1,"--","--",88.6
"Other Support","--","--","--",69.8,"--","--",88.3
"Initial Spares","--","--","--",0.3,"--","--",0.3
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","5669.9","5669.9","N/A",5682.8,"7324.5","7324.5",7136.9
