"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","390.9","634.6","698.1",674.1,"421.4","723.8",779
"Procurement","4879.2","6062","6668.2",5797.4,"5672.4","7134.8",6985.4
"Flyaway","--","--","--",4705.7,"--","--",5688.2
"Recurring","--","--","--",3875.7,"--","--",4661.5
"Non Recurring","--","--","--",830,"--","--",1026.7
"Support","--","--","--",1091.7,"--","--",1297.2
"Other Support","--","--","--",934.8,"--","--",1121.1
"Initial Spares","--","--","--",156.9,"--","--",176.1
"MILCON","0","0","--",0,"0","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","5270.1","6696.6","N/A",6471.5,"6093.8","7858.6",7764.4
