"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1860.0","1860.0","2046.0",1849.4,"1911.1","1911.1",1901.9
"Procurement","3846.9","3846.9","4231.6",3254.1,"4724.0","4724.0",4016.3
"Flyaway","--","--","--",2637.7,"--","--",3258.7
"Recurring","--","--","--",2619.8,"--","--",3238.7
"Non Recurring","--","--","--",17.9,"--","--",20
"Support","--","--","--",616.4,"--","--",757.6
"Other Support","--","--","--",519.9,"--","--",638.3
"Initial Spares","--","--","--",96.5,"--","--",119.3
"MILCON","28.8","28.8","31.7",28.6,"27.5","27.5",27.5
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","5735.7","5735.7","N/A",5132.1,"6662.6","6662.6",5945.7
