"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","450.2","450.2","495.2",430.5,"431.5","431.5",411.6
"Procurement","129.0","129.0","141.9",123.4,"135.2","135.2",128.8
"Flyaway","--","--","--",112.9,"--","--",117.8
"Recurring","--","--","--",112.9,"--","--",117.8
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",10.5,"--","--",11
"Other Support","--","--","--",1.8,"--","--",1.8
"Initial Spares","--","--","--",8.7,"--","--",9.2
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","579.2","579.2","N/A",553.9,"566.7","566.7",540.4
